"",0,1
0,"180640",0.9844064116477966
1,"035420",0.9873650670051575
2,"004170",0.9896774888038635
3,"006800",0.9898664355278015
4,"039490",0.9903227686882019
5,"323410",0.990517258644104
6,"010130",0.9911566972732544
7,"373220",0.9912576079368591
8,"047040",0.9913740754127502
9,"267250",0.9917661547660828
10,"302440",0.992012619972229
11,"068270",0.9920447468757629
12,"000670",0.9921167492866516
13,"300720",0.9921512007713318
14,"081660",0.9923203587532043
15,"207940",0.9925649762153625
16,"009150",0.9929037690162659
17,"192080",0.9929619431495667
18,"033780",0.993013322353363
19,"034020",0.9933122396469116
20,"375500",0.9933380484580994
21,"003490",0.9934424757957458
22,"008770",0.9935123324394226
23,"026960",0.9935819506645203
24,"005930",0.9939805865287781
25,"016360",0.9941938519477844
26,"004800",0.9943466782569885
27,"004020",0.9947852492332458
28,"138930",0.9949916005134583
29,"003410",0.9951830506324768
30,"069260",0.9954725503921509
31,"139130",0.9956026673316956
32,"003850",0.9956111311912537
33,"280360",0.9957661032676697
34,"000720",0.9958816170692444
35,"003550",0.9958930015563965
36,"051600",0.9959879517555237
37,"078930",0.9960682988166809
38,"011070",0.9962298274040222
39,"004000",0.9962411522865295
40,"028260",0.9963734745979309
41,"029780",0.9964221119880676
42,"161390",0.9964401125907898
43,"105560",0.9964696764945984
44,"005940",0.996470034122467
45,"316140",0.996677815914154
46,"018260",0.996679961681366
47,"012750",0.9967220425605774
48,"032830",0.9971539378166199
49,"000120",0.9974560141563416
50,"024110",0.9976686239242554
51,"005380",0.997797429561615
52,"097950",0.9978217482566833
53,"001800",0.9978736639022827
54,"001680",0.9984591007232666
55,"017670",0.998694896697998
56,"012330",0.998830258846283
57,"079550",0.998970091342926
58,"086280",0.9998555183410645
59,"030200",0.9999693632125854
