"",0,1
0,"336260",0.9836128354072571
1,"013890",0.9853928089141846
2,"000150",0.9858044981956482
3,"036570",0.9870182275772095
4,"003670",0.9873707890510559
5,"361610",0.9876161217689514
6,"377300",0.9877851605415344
7,"008730",0.9878217577934265
8,"020150",0.9880126118659973
9,"137310",0.9881944060325623
10,"010780",0.9883529543876648
11,"112610",0.9884182810783386
12,"009900",0.9887246489524841
13,"251270",0.9889354109764099
14,"009830",0.9891144633293152
15,"326030",0.9895443916320801
16,"047050",0.9897711277008057
17,"064350",0.9902034997940063
18,"016380",0.9903261065483093
19,"009540",0.9903397560119629
20,"005420",0.9904579520225525
21,"010140",0.9905813932418823
22,"241560",0.9911624789237976
23,"001740",0.9913787245750427
24,"006650",0.991585910320282
25,"028050",0.9917445182800293
26,"008930",0.991877019405365
27,"005850",0.992022693157196
28,"012450",0.9920472502708435
29,"005490",0.9921995997428894
30,"329180",0.9926179051399231
31,"000990",0.9926510453224182
32,"006360",0.9927463531494141
33,"035250",0.9927477836608887
34,"284740",0.992853045463562
35,"020000",0.9931313395500183
36,"192820",0.9932168126106262
37,"002790",0.9932292699813843
38,"031430",0.9932960867881775
39,"114090",0.9933201670646667
40,"032350",0.9933986663818359
41,"000660",0.9934053421020508
42,"010120",0.993537962436676
43,"001040",0.9936508536338806
44,"352820",0.9937825798988342
45,"042670",0.9941755533218384
46,"090430",0.9946224689483643
47,"051900",0.9947611689567566
48,"005300",0.9949478507041931
49,"139480",0.9950495362281799
50,"383220",0.9952757954597473
51,"161890",0.9954329133033752
52,"001570",0.9955501556396484
53,"042660",0.9966636300086975
54,"069620",0.9969998598098755
55,"073240",0.9973246455192566
56,"006260",0.9980766773223877
57,"000100",0.9982091784477234
